phenotype_names,CTQ_Term,Sex,Region,Effect_Size_Main_Ped,P_Main_Ped,Q_Main_Ped,Significant_Main_Ped,Effect_Size_Cov_Ped,P_Cov_Ped,Q_Cov_Ped,Significant_Cov_Ped,Sample_Size_Ped,Effect_Size_Main_YA,P_Main_YA,Q_Main_YA,Significant_Main_YA,Effect_Size_Cov_YA,P_Cov_YA,Q_Cov_YA,Significant_Cov_YA,Sample_Size_YA,Effect_Size_Main_OA,P_Main_OA,Q_Main_OA,Significant_Main_OA,Effect_Size_Cov_OA,P_Cov_OA,Q_Cov_OA,Significant_Cov_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,R_insula_thickavg,-0.05 (0.08),5.33E-01,9.80E-01,No,0.14 (0.165),3.97E-01,4.83E-01,No,189,-0.05 (0.034),1.39E-01,2.70E-01,No,0.156 (0.071),2.89E-02,1.03E-01,No,1163,-0.02 (0.037),5.86E-01,7.95E-01,No,0.25 (0.075) *,9.42E-04,4.93E-03,Yes,864
cortical_thickness,CTQ_Abuse,male,L_bankssts_thickavg,0.006 (0.086),9.41E-01,9.97E-01,No,-0.352 (0.192),6.80E-02,4.74E-01,No,159,-0.068 (0.039),8.40E-02,2.06E-01,No,0.03 (0.082),7.18E-01,8.58E-01,No,742,-0.07 (0.044),1.10E-01,6.33E-01,No,0.201 (0.089),2.41E-02,1.82E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_caudalanteriorcingulate_thickavg,0.125 (0.086),1.50E-01,5.83E-01,No,0.124 (0.192),5.18E-01,7.28E-01,No,159,-0.074 (0.039),5.73E-02,1.77E-01,No,0.161 (0.082),4.95E-02,2.25E-01,No,742,-0.071 (0.044),1.03E-01,6.33E-01,No,0.191 (0.089),3.17E-02,1.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_caudalmiddlefrontal_thickavg,0.082 (0.087),3.47E-01,8.99E-01,No,0.07 (0.193),7.17E-01,8.26E-01,No,159,-0.005 (0.039),9.00E-01,9.14E-01,No,-0.144 (0.082),7.93E-02,2.70E-01,No,742,-0.043 (0.044),3.32E-01,6.44E-01,No,-0.029 (0.089),7.46E-01,7.96E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_cuneus_thickavg,-0.124 (0.086),1.52E-01,5.83E-01,No,0.368 (0.191),5.64E-02,4.74E-01,No,159,0.065 (0.039),9.48E-02,2.06E-01,No,-0.127 (0.082),1.20E-01,3.16E-01,No,742,-0.033 (0.044),4.55E-01,7.04E-01,No,0.035 (0.089),6.94E-01,7.87E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_entorhil_thickavg,0.045 (0.087),6.06E-01,9.66E-01,No,0.214 (0.193),2.68E-01,6.76E-01,No,159,-0.054 (0.039),1.70E-01,3.04E-01,No,0.153 (0.082),6.13E-02,2.45E-01,No,742,-0.021 (0.044),6.32E-01,8.25E-01,No,0.185 (0.089),3.78E-02,1.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_fusiform_thickavg,0.029 (0.087),7.39E-01,9.97E-01,No,0.159 (0.193),4.13E-01,7.02E-01,No,159,0.047 (0.039),2.26E-01,3.37E-01,No,0.199 (0.082),1.50E-02,1.27E-01,No,742,0.072 (0.044),9.79E-02,6.33E-01,No,0.142 (0.089),1.09E-01,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_inferiorparietal_thickavg,0.107 (0.087),2.19E-01,6.75E-01,No,-0.19 (0.193),3.26E-01,7.02E-01,No,159,0.027 (0.039),4.82E-01,5.96E-01,No,-0.172 (0.082),3.63E-02,2.06E-01,No,742,-0.077 (0.044),8.04E-02,6.33E-01,No,0.016 (0.089),8.58E-01,8.70E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_inferiortemporal_thickavg,-0.005 (0.087),9.58E-01,9.97E-01,No,0.242 (0.193),2.11E-01,6.34E-01,No,159,-0.023 (0.039),5.58E-01,6.66E-01,No,0.215 (0.082),8.63E-03,9.78E-02,No,742,0.056 (0.044),2.04E-01,6.33E-01,No,0.135 (0.089),1.30E-01,2.76E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_isthmuscingulate_thickavg,-0.003 (0.087),9.71E-01,9.97E-01,No,-0.087 (0.194),6.53E-01,7.79E-01,No,159,-0.142 (0.039) *,2.77E-04,2.69E-03,Yes,0.07 (0.081),3.93E-01,6.10E-01,No,742,-0.01 (0.044),8.23E-01,9.04E-01,No,-0.044 (0.089),6.25E-01,7.72E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_lateraloccipital_thickavg,0.016 (0.087),8.58E-01,9.97E-01,No,-0.041 (0.194),8.33E-01,9.14E-01,No,159,-0.128 (0.039) *,1.06E-03,9.00E-03,Yes,0.087 (0.082),2.86E-01,5.29E-01,No,742,-0.055 (0.044),2.10E-01,6.33E-01,No,-0.069 (0.089),4.41E-01,6.38E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_lateralorbitofrontal_thickavg,-0.131 (0.086),1.28E-01,5.83E-01,No,0.459 (0.19),1.69E-02,2.88E-01,No,159,0.151 (0.039) *,1.07E-04,1.45E-03,Yes,0.003 (0.081),9.66E-01,9.66E-01,No,742,-0.022 (0.044),6.18E-01,8.25E-01,No,0.039 (0.089),6.62E-01,7.87E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_lingual_thickavg,-0.164 (0.086),5.83E-02,5.83E-01,No,0.347 (0.191),7.16E-02,4.74E-01,No,159,0.028 (0.039),4.79E-01,5.96E-01,No,-0.011 (0.082),8.93E-01,9.49E-01,No,742,-0.065 (0.044),1.34E-01,6.33E-01,No,-0.165 (0.089),6.29E-02,2.37E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_medialorbitofrontal_thickavg,0.025 (0.086),7.74E-01,9.97E-01,No,0.401 (0.19),3.69E-02,4.74E-01,No,159,0.152 (0.039) *,1.02E-04,1.45E-03,Yes,-0.119 (0.081),1.42E-01,3.23E-01,No,742,0.117 (0.044),7.56E-03,2.14E-01,No,-0.06 (0.089),5.02E-01,6.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_middletemporal_thickavg,-0.125 (0.087),1.50E-01,5.83E-01,No,0.23 (0.192),2.34E-01,6.62E-01,No,159,-0.093 (0.039),1.68E-02,7.61E-02,No,0.251 (0.081) *,2.11E-03,4.79E-02,Yes,742,-0.024 (0.044),5.85E-01,8.12E-01,No,0.235 (0.089),8.30E-03,9.51E-02,No,585
cortical_thickness,CTQ_Abuse,male,L_parahippocampal_thickavg,0.045 (0.087),6.03E-01,9.66E-01,No,-0.136 (0.194),4.85E-01,7.28E-01,No,159,0.068 (0.039),8.32E-02,2.06E-01,No,0.078 (0.082),3.42E-01,5.68E-01,No,742,-0.063 (0.044),1.50E-01,6.33E-01,No,0.175 (0.089),4.93E-02,2.10E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_paracentral_thickavg,0.055 (0.087),5.31E-01,9.66E-01,No,-0.162 (0.194),4.04E-01,7.02E-01,No,159,0.04 (0.039),3.02E-01,4.11E-01,No,-0.112 (0.082),1.73E-01,3.80E-01,No,742,0.043 (0.044),3.25E-01,6.44E-01,No,-0.145 (0.089),1.05E-01,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_parsopercularis_thickavg,0.014 (0.086),8.72E-01,9.97E-01,No,-0.47 (0.19),1.43E-02,2.88E-01,No,159,-0.09 (0.039),2.08E-02,8.85E-02,No,0.018 (0.082),8.28E-01,9.29E-01,No,742,-0.009 (0.044),8.38E-01,9.04E-01,No,-0.151 (0.089),9.14E-02,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_parsorbitalis_thickavg,0.008 (0.087),9.30E-01,9.97E-01,No,0.25 (0.193),1.96E-01,6.34E-01,No,159,0.004 (0.039),9.20E-01,9.20E-01,No,-0.091 (0.082),2.67E-01,5.18E-01,No,742,-0.037 (0.044),4.06E-01,6.95E-01,No,-0.038 (0.089),6.73E-01,7.87E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_parstriangularis_thickavg,0.07 (0.086),4.20E-01,8.99E-01,No,0.239 (0.192),2.15E-01,6.34E-01,No,159,-0.028 (0.039),4.69E-01,5.96E-01,No,0.014 (0.082),8.61E-01,9.29E-01,No,742,0.053 (0.044),2.28E-01,6.33E-01,No,-0.048 (0.089),5.92E-01,7.60E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_pericalcarine_thickavg,-0.104 (0.086),2.28E-01,6.75E-01,No,0.364 (0.192),5.91E-02,4.74E-01,No,159,0.064 (0.039),1.02E-01,2.06E-01,No,-0.278 (0.081) *,6.77E-04,4.60E-02,Yes,742,0.041 (0.044),3.46E-01,6.50E-01,No,-0.153 (0.089),8.58E-02,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_postcentral_thickavg,-0.138 (0.087),1.13E-01,5.83E-01,No,-0.022 (0.192),9.11E-01,9.47E-01,No,159,-0.007 (0.039),8.57E-01,9.14E-01,No,-0.062 (0.082),4.48E-01,6.10E-01,No,742,0.016 (0.044),7.16E-01,8.39E-01,No,-0.069 (0.089),4.39E-01,6.38E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_posteriorcingulate_thickavg,-0.07 (0.087),4.23E-01,8.99E-01,No,-0.011 (0.194),9.56E-01,9.71E-01,No,159,-0.111 (0.039) *,4.57E-03,3.46E-02,Yes,0.181 (0.082),2.65E-02,1.80E-01,No,742,-0.053 (0.044),2.30E-01,6.33E-01,No,-0.079 (0.089),3.76E-01,5.81E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_precentral_thickavg,0.137 (0.087),1.16E-01,5.83E-01,No,-0.266 (0.192),1.68E-01,6.30E-01,No,159,-0.047 (0.039),2.26E-01,3.37E-01,No,-0.063 (0.082),4.44E-01,6.10E-01,No,742,-0.012 (0.044),7.86E-01,9.04E-01,No,-0.051 (0.089),5.65E-01,7.39E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_precuneus_thickavg,0.179 (0.086),3.96E-02,5.83E-01,No,-0.26 (0.191),1.76E-01,6.30E-01,No,159,0.052 (0.039),1.89E-01,3.13E-01,No,-0.071 (0.082),3.88E-01,6.10E-01,No,742,-0.044 (0.044),3.20E-01,6.44E-01,No,-0.073 (0.089),4.12E-01,6.22E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_rostralanteriorcingulate_thickavg,0.099 (0.086),2.53E-01,7.16E-01,No,0.168 (0.192),3.82E-01,7.02E-01,No,159,-0.053 (0.039),1.75E-01,3.05E-01,No,0.127 (0.082),1.20E-01,3.16E-01,No,742,-0.035 (0.044),4.20E-01,6.95E-01,No,0.088 (0.089),3.25E-01,5.15E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_rostralmiddlefrontal_thickavg,0.063 (0.087),4.68E-01,9.05E-01,No,-0.106 (0.194),5.85E-01,7.50E-01,No,159,0.059 (0.039),1.33E-01,2.44E-01,No,-0.15 (0.082),6.70E-02,2.47E-01,No,742,0.003 (0.044),9.52E-01,9.71E-01,No,-0.017 (0.089),8.53E-01,8.70E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_superiorfrontal_thickavg,0.107 (0.087),2.19E-01,6.75E-01,No,0.007 (0.193),9.71E-01,9.71E-01,No,159,0.029 (0.039),4.64E-01,5.96E-01,No,-0.085 (0.082),2.98E-01,5.29E-01,No,742,-0.028 (0.044),5.22E-01,7.55E-01,No,-0.093 (0.089),2.97E-01,5.04E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_superiorparietal_thickavg,0.042 (0.087),6.31E-01,9.66E-01,No,-0.091 (0.194),6.38E-01,7.79E-01,No,159,0.084 (0.039),3.16E-02,1.09E-01,No,-0.149 (0.082),6.90E-02,2.47E-01,No,742,0.091 (0.044),3.77E-02,5.13E-01,No,-0.161 (0.089),7.02E-02,2.37E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_superiortemporal_thickavg,0.152 (0.087),8.15E-02,5.83E-01,No,-0.154 (0.192),4.23E-01,7.02E-01,No,159,-0.045 (0.039),2.51E-01,3.56E-01,No,0.157 (0.082),5.63E-02,2.39E-01,No,742,-0.019 (0.044),6.71E-01,8.25E-01,No,0.233 (0.089),8.83E-03,9.51E-02,No,585
cortical_thickness,CTQ_Abuse,male,L_supramargil_thickavg,0.065 (0.087),4.59E-01,9.05E-01,No,-0.226 (0.193),2.43E-01,6.62E-01,No,159,-0.047 (0.039),2.29E-01,3.37E-01,No,-0.067 (0.082),4.16E-01,6.10E-01,No,742,-0.06 (0.044),1.68E-01,6.33E-01,No,0.128 (0.089),1.52E-01,2.96E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_frontalpole_thickavg,-0.0 (0.087),9.97E-01,9.97E-01,No,0.155 (0.194),4.24E-01,7.02E-01,No,159,0.006 (0.039),8.75E-01,9.14E-01,No,-0.017 (0.082),8.37E-01,9.29E-01,No,742,-0.002 (0.044),9.62E-01,9.71E-01,No,0.019 (0.089),8.35E-01,8.70E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_temporalpole_thickavg,-0.048 (0.087),5.80E-01,9.66E-01,No,0.257 (0.193),1.85E-01,6.30E-01,No,159,-0.019 (0.039),6.32E-01,7.41E-01,No,0.169 (0.082),3.95E-02,2.07E-01,No,742,0.019 (0.044),6.63E-01,8.25E-01,No,0.185 (0.089),3.78E-02,1.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_transversetemporal_thickavg,0.041 (0.087),6.39E-01,9.66E-01,No,0.186 (0.193),3.37E-01,7.02E-01,No,159,0.07 (0.039),7.23E-02,2.05E-01,No,-0.029 (0.082),7.19E-01,8.58E-01,No,742,0.067 (0.044),1.26E-01,6.33E-01,No,-0.12 (0.089),1.78E-01,3.36E-01,No,585
cortical_thickness,CTQ_Abuse,male,L_insula_thickavg,0.152 (0.086),7.82E-02,5.83E-01,No,0.112 (0.191),5.59E-01,7.31E-01,No,159,-0.072 (0.039),6.51E-02,1.92E-01,No,0.064 (0.082),4.35E-01,6.10E-01,No,742,-0.051 (0.044),2.45E-01,6.33E-01,No,-0.001 (0.089),9.87E-01,9.87E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_bankssts_thickavg,-0.042 (0.087),6.27E-01,9.66E-01,No,0.162 (0.194),4.03E-01,7.02E-01,No,159,-0.162 (0.039) *,3.26E-05,7.38E-04,Yes,0.054 (0.081),5.08E-01,6.65E-01,No,742,-0.112 (0.044),1.03E-02,2.14E-01,No,-0.028 (0.089),7.48E-01,7.96E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_caudalanteriorcingulate_thickavg,0.08 (0.087),3.60E-01,8.99E-01,No,0.132 (0.193),4.93E-01,7.28E-01,No,159,0.006 (0.039),8.85E-01,9.14E-01,No,-0.068 (0.082),4.11E-01,6.10E-01,No,742,-0.043 (0.044),3.28E-01,6.44E-01,No,0.18 (0.089),4.31E-02,1.95E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_caudalmiddlefrontal_thickavg,-0.02 (0.087),8.23E-01,9.97E-01,No,-0.02 (0.194),9.19E-01,9.47E-01,No,159,-0.026 (0.039),4.99E-01,6.05E-01,No,-0.135 (0.082),9.89E-02,3.16E-01,No,742,-0.062 (0.044),1.56E-01,6.33E-01,No,-0.147 (0.089),9.76E-02,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_cuneus_thickavg,-0.233 (0.084),6.55E-03,4.45E-01,No,0.521 (0.188),6.11E-03,2.08E-01,No,159,0.038 (0.039),3.38E-01,4.50E-01,No,-0.127 (0.082),1.23E-01,3.16E-01,No,742,0.017 (0.044),6.92E-01,8.25E-01,No,-0.038 (0.089),6.73E-01,7.87E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_entorhil_thickavg,0.01 (0.087),9.08E-01,9.97E-01,No,0.049 (0.194),7.99E-01,9.06E-01,No,159,-0.102 (0.039) *,9.42E-03,4.57E-02,Yes,0.1 (0.082),2.23E-01,4.60E-01,No,742,-0.067 (0.044),1.28E-01,6.33E-01,No,0.185 (0.089),3.84E-02,1.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_fusiform_thickavg,-0.005 (0.086),9.58E-01,9.97E-01,No,0.334 (0.192),8.36E-02,4.74E-01,No,159,0.008 (0.039),8.47E-01,9.14E-01,No,0.125 (0.082),1.28E-01,3.16E-01,No,742,0.065 (0.044),1.38E-01,6.33E-01,No,0.159 (0.089),7.33E-02,2.37E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_inferiorparietal_thickavg,0.11 (0.087),2.08E-01,6.75E-01,No,-0.117 (0.193),5.46E-01,7.28E-01,No,159,-0.065 (0.039),9.76E-02,2.06E-01,No,-0.015 (0.082),8.51E-01,9.29E-01,No,742,-0.053 (0.044),2.25E-01,6.33E-01,No,0.095 (0.089),2.89E-01,5.04E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_inferiortemporal_thickavg,-0.047 (0.087),5.94E-01,9.66E-01,No,0.199 (0.193),3.04E-01,7.02E-01,No,159,-0.063 (0.039),1.06E-01,2.06E-01,No,0.226 (0.082),5.72E-03,9.73E-02,No,742,0.034 (0.044),4.39E-01,6.95E-01,No,0.23 (0.089),9.79E-03,9.51E-02,No,585
cortical_thickness,CTQ_Abuse,male,R_isthmuscingulate_thickavg,-0.024 (0.087),7.83E-01,9.97E-01,No,0.091 (0.194),6.40E-01,7.79E-01,No,159,-0.108 (0.039) *,5.81E-03,3.59E-02,Yes,-0.065 (0.081),4.29E-01,6.10E-01,No,742,-0.034 (0.044),4.40E-01,6.95E-01,No,0.03 (0.089),7.34E-01,7.96E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_lateraloccipital_thickavg,-0.001 (0.086),9.91E-01,9.97E-01,No,0.338 (0.192),7.96E-02,4.74E-01,No,159,0.005 (0.039),8.99E-01,9.14E-01,No,0.128 (0.082),1.20E-01,3.16E-01,No,742,-0.029 (0.043),5.02E-01,7.47E-01,No,0.321 (0.088) *,3.07E-04,2.09E-02,Yes,585
cortical_thickness,CTQ_Abuse,male,R_lateralorbitofrontal_thickavg,-0.016 (0.087),8.55E-01,9.97E-01,No,0.043 (0.194),8.24E-01,9.14E-01,No,159,0.146 (0.039) *,1.90E-04,2.15E-03,Yes,-0.02 (0.081),8.06E-01,9.29E-01,No,742,0.008 (0.044),8.63E-01,9.17E-01,No,0.036 (0.089),6.90E-01,7.87E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_lingual_thickavg,-0.09 (0.087),3.04E-01,8.27E-01,No,0.268 (0.193),1.66E-01,6.30E-01,No,159,0.063 (0.039),1.06E-01,2.06E-01,No,-0.126 (0.082),1.23E-01,3.16E-01,No,742,-0.034 (0.044),4.35E-01,6.95E-01,No,-0.132 (0.089),1.40E-01,2.80E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_medialorbitofrontal_thickavg,-0.07 (0.087),4.18E-01,8.99E-01,No,0.3 (0.193),1.21E-01,5.48E-01,No,159,0.2 (0.038) *,2.64E-07,1.80E-05,Yes,-0.1 (0.081),2.17E-01,4.60E-01,No,742,0.109 (0.044),1.26E-02,2.14E-01,No,-0.045 (0.089),6.13E-01,7.72E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_middletemporal_thickavg,-0.073 (0.087),4.04E-01,8.99E-01,No,0.088 (0.194),6.48E-01,7.79E-01,No,159,-0.19 (0.039) *,9.71E-07,3.30E-05,Yes,0.159 (0.081),4.97E-02,2.25E-01,No,742,-0.046 (0.044),2.95E-01,6.44E-01,No,0.184 (0.089),3.88E-02,1.89E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_parahippocampal_thickavg,-0.062 (0.087),4.79E-01,9.05E-01,No,0.032 (0.194),8.68E-01,9.31E-01,No,159,0.064 (0.039),1.04E-01,2.06E-01,No,-0.006 (0.082),9.38E-01,9.61E-01,No,742,-0.021 (0.044),6.25E-01,8.25E-01,No,0.052 (0.089),5.60E-01,7.39E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_paracentral_thickavg,-0.011 (0.087),9.03E-01,9.97E-01,No,-0.173 (0.193),3.72E-01,7.02E-01,No,159,0.016 (0.039),6.76E-01,7.79E-01,No,-0.046 (0.082),5.75E-01,7.38E-01,No,742,-0.029 (0.044),5.05E-01,7.47E-01,No,-0.143 (0.089),1.08E-01,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_parsopercularis_thickavg,-0.017 (0.087),8.45E-01,9.97E-01,No,-0.198 (0.193),3.06E-01,7.02E-01,No,159,-0.05 (0.039),2.04E-01,3.30E-01,No,0.023 (0.082),7.81E-01,9.16E-01,No,742,-0.051 (0.044),2.47E-01,6.33E-01,No,0.029 (0.089),7.49E-01,7.96E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_parsorbitalis_thickavg,-0.139 (0.086),1.10E-01,5.83E-01,No,-0.119 (0.191),5.33E-01,7.28E-01,No,159,0.084 (0.039),3.12E-02,1.09E-01,No,-0.086 (0.082),2.92E-01,5.29E-01,No,742,0.018 (0.044),6.80E-01,8.25E-01,No,-0.142 (0.089),1.11E-01,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_parstriangularis_thickavg,-0.002 (0.087),9.84E-01,9.97E-01,No,-0.257 (0.193),1.85E-01,6.30E-01,No,159,0.066 (0.039),9.03E-02,2.06E-01,No,-0.084 (0.082),3.03E-01,5.29E-01,No,742,0.049 (0.044),2.68E-01,6.33E-01,No,-0.161 (0.089),7.15E-02,2.37E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_pericalcarine_thickavg,-0.203 (0.086),1.88E-02,5.83E-01,No,0.03 (0.19),8.76E-01,9.31E-01,No,159,-0.044 (0.039),2.57E-01,3.57E-01,No,-0.256 (0.081) *,1.66E-03,4.79E-02,Yes,742,-0.01 (0.044),8.14E-01,9.04E-01,No,-0.142 (0.089),1.12E-01,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_postcentral_thickavg,-0.177 (0.085),3.85E-02,5.83E-01,No,-0.211 (0.189),2.64E-01,6.76E-01,No,159,-0.052 (0.039),1.85E-01,3.13E-01,No,-0.124 (0.082),1.30E-01,3.16E-01,No,742,0.04 (0.043),3.60E-01,6.50E-01,No,-0.295 (0.088) *,9.11E-04,3.10E-02,Yes,585
cortical_thickness,CTQ_Abuse,male,R_posteriorcingulate_thickavg,0.062 (0.087),4.77E-01,9.05E-01,No,-0.128 (0.194),5.11E-01,7.28E-01,No,159,-0.016 (0.039),6.87E-01,7.79E-01,No,0.01 (0.082),9.07E-01,9.49E-01,No,742,-0.025 (0.044),5.72E-01,8.10E-01,No,-0.089 (0.089),3.18E-01,5.15E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_precentral_thickavg,-0.052 (0.087),5.50E-01,9.66E-01,No,-0.076 (0.194),6.97E-01,8.17E-01,No,159,-0.048 (0.039),2.24E-01,3.37E-01,No,-0.031 (0.082),7.08E-01,8.58E-01,No,742,0.05 (0.044),2.51E-01,6.33E-01,No,-0.255 (0.089),4.25E-03,7.22E-02,No,585
cortical_thickness,CTQ_Abuse,male,R_precuneus_thickavg,0.132 (0.087),1.31E-01,5.83E-01,No,-0.133 (0.193),4.92E-01,7.28E-01,No,159,0.104 (0.039) *,7.82E-03,4.43E-02,Yes,-0.081 (0.082),3.22E-01,5.48E-01,No,742,0.048 (0.044),2.70E-01,6.33E-01,No,-0.065 (0.089),4.68E-01,6.64E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_rostralanteriorcingulate_thickavg,0.035 (0.086),6.89E-01,9.97E-01,No,0.309 (0.192),1.09E-01,5.33E-01,No,159,0.005 (0.039),9.00E-01,9.14E-01,No,0.031 (0.082),7.08E-01,8.58E-01,No,742,0.002 (0.044),9.71E-01,9.71E-01,No,0.061 (0.089),4.95E-01,6.83E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_rostralmiddlefrontal_thickavg,-0.148 (0.086),8.62E-02,5.83E-01,No,-0.185 (0.19),3.32E-01,7.02E-01,No,159,0.102 (0.039) *,9.12E-03,4.57E-02,Yes,-0.209 (0.082),1.04E-02,1.01E-01,No,742,0.004 (0.044),9.23E-01,9.66E-01,No,-0.161 (0.089),7.15E-02,2.37E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_superiorfrontal_thickavg,0.132 (0.086),1.30E-01,5.83E-01,No,-0.309 (0.192),1.10E-01,5.33E-01,No,159,0.062 (0.039),1.12E-01,2.11E-01,No,-0.191 (0.082),1.96E-02,1.48E-01,No,742,-0.052 (0.044),2.38E-01,6.33E-01,No,-0.152 (0.089),8.67E-02,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_superiorparietal_thickavg,0.124 (0.087),1.54E-01,5.83E-01,No,-0.182 (0.193),3.47E-01,7.02E-01,No,159,0.078 (0.039),4.52E-02,1.46E-01,No,-0.177 (0.082),3.04E-02,1.88E-01,No,742,0.138 (0.043),1.53E-03,1.04E-01,No,-0.265 (0.088),2.82E-03,6.39E-02,No,585
cortical_thickness,CTQ_Abuse,male,R_superiortemporal_thickavg,0.039 (0.087),6.54E-01,9.67E-01,No,-0.12 (0.194),5.36E-01,7.28E-01,No,159,-0.084 (0.039),3.21E-02,1.09E-01,No,0.056 (0.082),4.96E-01,6.61E-01,No,742,-0.049 (0.044),2.60E-01,6.33E-01,No,0.141 (0.089),1.14E-01,2.50E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_supramargil_thickavg,-0.001 (0.085),9.93E-01,9.97E-01,No,-0.528 (0.188),5.74E-03,2.08E-01,No,159,-0.108 (0.039) *,5.60E-03,3.59E-02,Yes,-0.093 (0.081),2.52E-01,5.04E-01,No,742,-0.043 (0.044),3.30E-01,6.44E-01,No,-0.11 (0.089),2.17E-01,3.99E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_frontalpole_thickavg,0.013 (0.087),8.81E-01,9.97E-01,No,-0.178 (0.193),3.59E-01,7.02E-01,No,159,0.067 (0.039),8.66E-02,2.06E-01,No,0.005 (0.082),9.47E-01,9.61E-01,No,742,0.04 (0.044),3.63E-01,6.50E-01,No,-0.132 (0.089),1.38E-01,2.80E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_temporalpole_thickavg,-0.071 (0.087),4.14E-01,8.99E-01,No,0.133 (0.194),4.93E-01,7.28E-01,No,159,-0.047 (0.039),2.33E-01,3.37E-01,No,0.12 (0.082),1.43E-01,3.23E-01,No,742,0.02 (0.044),6.47E-01,8.25E-01,No,0.213 (0.089),1.68E-02,1.43E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_transversetemporal_thickavg,0.026 (0.087),7.64E-01,9.97E-01,No,0.123 (0.194),5.26E-01,7.28E-01,No,159,0.068 (0.039),8.23E-02,2.06E-01,No,0.063 (0.082),4.43E-01,6.10E-01,No,742,0.065 (0.044),1.38E-01,6.33E-01,No,-0.09 (0.089),3.15E-01,5.15E-01,No,585
cortical_thickness,CTQ_Abuse,male,R_insula_thickavg,0.109 (0.085),2.04E-01,6.75E-01,No,0.338 (0.189),7.62E-02,4.74E-01,No,159,-0.088 (0.039),2.41E-02,9.64E-02,No,0.217 (0.082),7.98E-03,9.78E-02,No,742,-0.009 (0.044),8.34E-01,9.04E-01,No,0.095 (0.089),2.90E-01,5.04E-01,No,585
cortical_thickness,CTQ_Neglect,female,L_bankssts_thickavg,0.081 (0.077),2.93E-01,8.58E-01,No,-0.309 (0.159),5.42E-02,1.23E-01,No,189,-0.011 (0.034),7.51E-01,8.96E-01,No,-0.048 (0.073),5.06E-01,6.62E-01,No,1163,0.033 (0.038),3.89E-01,6.45E-01,No,-0.031 (0.077),6.86E-01,7.94E-01,No,864
